frame_idx,timestamp,state,is_lost,is_keyframe,x,y,z,q_x,q_y,q_z,q_w
143,2.385717,2,false,false,0.340907812,0.017571092,0.092662401,0.157691851,-0.199187756,-0.142478049,0.956638753
144,2.402400,2,false,false,0.339079082,0.018235482,0.091644436,0.156274065,-0.204282671,-0.143440425,0.955652595
145,2.419083,2,false,false,0.337159753,0.018854454,0.090394191,0.155106843,-0.209208876,-0.144440830,0.954625845
146,2.435767,2,false,false,0.335181057,0.019580405,0.089232728,0.154003322,-0.213947266,-0.145264447,0.953628778
147,2.452450,2,false,false,0.334762037,0.019526716,0.086756475,-0.153017595,0.218451023,0.146345675,-0.952600479
148,2.469133,2,false,false,0.332280070,0.021887124,0.083491236,0.152190283,-0.221636370,-0.147141099,0.951874435
149,2.485817,2,false,false,0.329840124,0.022704508,0.082242683,0.151080057,-0.225103289,-0.148323253,0.951053917
150,2.502500,2,false,false,0.328031957,0.023321617,0.080755018,0.149798647,-0.228008479,-0.149486929,0.950382113
151,2.519183,2,false,false,0.326038688,0.023761798,0.079995833,0.148132578,-0.230304509,-0.150753587,0.949889481
152,2.535867,2,false,false,0.324173510,0.024043586,0.079622835,0.146070182,-0.232426018,-0.151932031,0.949504256
153,2.552550,2,false,false,0.322156131,0.024792396,0.079223126,0.143841043,-0.234397262,-0.152943149,0.949197590
154,2.569233,2,false,false,0.320451975,0.025338426,0.078375146,0.141795665,-0.236570343,-0.154126272,0.948774815
155,2.585917,2,false,false,0.318811685,0.025867391,0.078332044,0.140141904,-0.239325121,-0.155740961,0.948065698
156,2.602600,2,false,false,0.320214570,0.024579540,0.080824308,-0.138658345,0.243921831,0.157680377,-0.946790874
157,2.619283,2,false,false,0.317173660,0.026138607,0.077476129,0.137708142,-0.246602684,-0.159320727,0.945960164
158,2.635967,2,false,false,0.315513819,0.026441630,0.076737881,0.136691034,-0.249506772,-0.161448270,0.944984913
159,2.652650,2,false,false,0.314231962,0.026776437,0.075116068,0.135664642,-0.251532704,-0.163732916,0.944202304
160,2.669333,2,false,false,0.312536180,0.027446952,0.074039444,0.134636074,-0.252972394,-0.166288033,0.943518102
161,2.686017,2,false,false,0.311026573,0.028005887,0.073221512,0.133228883,-0.253845483,-0.168591306,0.943074524
162,2.702700,2,false,false,0.309963226,0.028515741,0.072500169,0.131534860,-0.254885375,-0.170716316,0.942649484
163,2.719383,2,false,false,0.308883905,0.029098347,0.071651205,0.130002752,-0.255951434,-0.172490254,0.942250073
164,2.736067,2,false,false,0.307793021,0.029607560,0.070689574,0.128849477,-0.257547617,-0.173922017,0.941710293
165,2.752750,2,false,false,0.306882173,0.029945679,0.069893330,0.127996519,-0.259426683,-0.175172433,0.941078842
166,2.769433,2,false,false,0.308064938,0.028229140,0.075865462,-0.126762062,0.263135731,0.176384404,-0.939989150
167,2.786117,2,false,false,0.307187170,0.028789163,0.075152308,-0.126130983,0.265398800,0.176835716,-0.939352810
168,2.802800,2,false,false,0.307180583,0.029991895,0.071810968,0.125734180,-0.267098129,-0.176616132,0.938965619
169,2.819483,2,false,false,0.306576192,0.030652404,0.070598133,0.125721902,-0.268543959,-0.176344931,0.938605726
170,2.836167,2,false,false,0.306039870,0.031337477,0.069502763,0.125765860,-0.269661188,-0.175938860,0.938355625
171,2.852850,2,false,false,0.306037366,0.032014932,0.068704084,0.125619292,-0.270918339,-0.175423086,0.938109756
172,2.869533,2,false,false,0.305863619,0.032447986,0.068309173,0.124909073,-0.272231489,-0.174937814,0.937915027
173,2.886217,2,false,false,0.305596650,0.032618999,0.068274610,0.123527333,-0.273844332,-0.174610704,0.937689424
174,2.902900,2,false,false,0.305265099,0.032922499,0.068245277,0.121513493,-0.275949627,-0.174208730,0.937410057
175,2.919583,2,false,false,0.304976463,0.032772932,0.068331048,0.119238943,-0.278026670,-0.174069375,0.937114298
176,2.936267,2,false,false,0.304631114,0.032739908,0.068514965,0.117399991,-0.279612750,-0.174261764,0.936838746
177,2.952950,2,false,false,0.305826634,0.030946791,0.072499193,-0.115872927,0.281371266,0.174503744,-0.936457217
178,2.969633,2,false,false,0.304941624,0.032760501,0.073618814,0.115274519,-0.281037629,-0.174153298,0.936696529
179,2.986317,2,false,false,0.304363251,0.033066269,0.074046537,0.114304192,-0.280830741,-0.174133837,0.936881125
180,3.003000,2,false,false,0.303911150,0.033245370,0.074307255,0.113598615,-0.280876935,-0.174058452,0.936967015
181,3.019683,2,false,false,0.303795785,0.033293955,0.074732624,0.112882093,-0.281389713,-0.174078465,0.936896026
182,3.036367,2,false,false,0.303708196,0.033349991,0.075165845,0.111939780,-0.282219976,-0.173681989,0.936832964
183,3.053050,2,false,false,0.303595573,0.033541925,0.075800590,0.110737145,-0.283091009,-0.173223704,0.936797976
184,3.069733,2,false,false,0.303652644,0.033620194,0.076196834,0.109670863,-0.283994555,-0.172857955,0.936717510
185,3.086417,2,false,false,0.304674655,0.032021955,0.077087544,-0.108401805,0.285490751,0.172706544,-0.936438262
186,3.103100,2,false,false,0.304070175,0.033199944,0.076464593,0.108063035,-0.285424352,-0.172066569,0.936615467
187,3.119783,2,false,false,0.304017603,0.033056188,0.076551750,0.107271850,-0.286378264,-0.171738505,0.936475396
188,3.136467,2,false,false,0.304072917,0.032913856,0.076709464,0.106715806,-0.287111551,-0.171623841,0.936335385
189,3.153150,2,false,false,0.304118335,0.032843221,0.076726012,0.106309466,-0.287406176,-0.171493024,0.936315238
190,3.169833,2,false,false,0.304281712,0.032820713,0.076795071,0.106186531,-0.287203074,-0.171293303,0.936428010
191,3.186517,2,false,false,0.304355234,0.032807700,0.076822087,0.106117547,-0.286884606,-0.171394289,0.936514974
192,3.203200,2,false,false,0.304725498,0.032089215,0.077892907,-0.105936885,0.287331730,0.171595529,-0.936361551
193,3.219883,2,false,false,0.304577768,0.032748200,0.077458292,-0.105736189,0.287371457,0.171857327,-0.936324000
194,3.236567,2,false,false,0.304542840,0.032883007,0.077284589,-0.105115496,0.288006276,0.171968043,-0.936178505
195,3.253250,2,false,false,0.304551274,0.032925420,0.077190638,-0.104505174,0.288623035,0.171977282,-0.936055183
196,3.269933,2,false,true,0.302444100,0.032738604,0.076855868,0.103982814,-0.288280129,-0.171727300,0.936264873
197,3.286617,2,false,false,0.302484095,0.032803789,0.076825991,0.103372559,-0.288684815,-0.171629697,0.936225653
198,3.303300,2,false,false,0.302518517,0.032764480,0.076863438,0.102700129,-0.288921803,-0.171759009,0.936202824
199,3.319983,2,false,false,0.302468121,0.032737240,0.076850235,0.101799257,-0.288980722,-0.171950325,0.936247945
200,3.336667,2,false,false,0.302444488,0.032662652,0.076842353,0.101024330,-0.288838953,-0.172196195,0.936330438
201,3.353350,2,false,false,0.302411526,0.032582451,0.076911837,0.100484200,-0.288985372,-0.172354624,0.936314225
202,3.370033,2,false,false,0.302349031,0.032575507,0.076919012,0.100182839,-0.289412022,-0.172769934,0.936138153
203,3.386717,2,false,false,0.302711457,0.032625236,0.077350482,-0.100053981,0.290389031,0.173335418,-0.935744762
204,3.403400,2,false,true,0.302519113,0.033718951,0.076647982,0.100075111,-0.290106773,-0.173552603,0.935789824
205,3.420083,2,false,false,0.302437216,0.033699185,0.076693855,0.099892221,-0.290036738,-0.173991457,0.935749590
206,3.436767,2,false,false,0.302432001,0.033664644,0.076882452,0.099864893,-0.289371818,-0.174430028,0.935876727
207,3.453450,2,false,false,0.302347749,0.033688117,0.076938219,0.099574931,-0.288483679,-0.174781084,0.936116278
208,3.470133,2,false,false,0.302191347,0.033694386,0.076894514,0.099147223,-0.287701041,-0.175164908,0.936330736
209,3.486817,2,false,false,0.302058101,0.033666588,0.076924711,0.098509267,-0.287187159,-0.175623566,0.936469913
210,3.503500,2,false,false,0.301892936,0.033598788,0.076746553,0.097943522,-0.287056744,-0.176209763,0.936459124
211,3.520183,2,false,false,0.301019013,0.032691061,0.078013763,-0.097677492,0.287679881,0.177160770,-0.936116219
212,3.536867,2,false,false,0.300698340,0.032871075,0.077546746,-0.097625539,0.287460357,0.177523270,-0.936120391
213,3.553550,2,false,false,0.300389260,0.033072662,0.077093899,-0.098081477,0.287101686,0.177837983,-0.936123013
214,3.570233,2,false,false,0.299984574,0.033197515,0.076737329,-0.099029057,0.286500156,0.178177625,-0.936142981
215,3.586917,2,false,false,0.299592972,0.033290032,0.076489434,-0.099942453,0.285702795,0.178796336,-0.936171651
216,3.603600,2,false,false,0.299254030,0.033482127,0.076219082,-0.100792393,0.284916818,0.179086670,-0.936264575
217,3.620283,2,false,false,0.299048185,0.033643462,0.075964391,-0.101539381,0.284275413,0.179039121,-0.936387897
218,3.636967,2,false,false,0.299001753,0.033846192,0.075829931,-0.102163188,0.283834666,0.178599566,-0.936537683
219,3.653650,2,false,false,0.298982382,0.033971317,0.075716317,-0.102861941,0.283513278,0.177620679,-0.936744690
220,3.670333,2,false,false,0.299501985,0.032928713,0.076742485,-0.103055999,0.283522725,0.175999209,-0.937026501
221,3.687017,2,false,false,0.299814671,0.032903865,0.076923922,-0.103593536,0.284003973,0.174315467,-0.937136233
222,3.703700,2,false,false,0.300448388,0.032893598,0.076888457,-0.104132801,0.284945369,0.172679767,-0.937093496
223,3.720383,2,false,false,0.300931454,0.032898825,0.077147037,-0.104618214,0.286113501,0.171048239,-0.936982751
224,3.737067,2,false,false,0.301945567,0.032707866,0.077115610,-0.104875863,0.287208974,0.169605598,-0.936881006
225,3.753750,2,false,false,0.302399457,0.032628819,0.077219680,-0.105232291,0.287966907,0.168717980,-0.936768651
226,3.770433,2,false,false,0.302627981,0.032586936,0.077388868,-0.105481997,0.288130403,0.168217763,-0.936780274
227,3.787117,2,false,false,0.302736670,0.032610897,0.077428438,-0.105842389,0.287790507,0.168356046,-0.936819255
228,3.803800,2,false,false,0.302646875,0.032670315,0.077435702,-0.106292665,0.287258923,0.168972224,-0.936820447
229,3.820483,2,false,false,0.302435488,0.032777492,0.077269167,-0.106873073,0.286474407,0.169777527,-0.936849117
230,3.837167,2,false,false,0.302070558,0.032860301,0.076927915,-0.107715867,0.285695940,0.170562148,-0.936847746
231,3.853850,2,false,false,0.301737547,0.033014327,0.076615907,-0.108627647,0.285279512,0.171187371,-0.936755300
232,3.870533,2,false,false,0.301450968,0.033184983,0.076285549,-0.109485574,0.285142571,0.171598613,-0.936621904
233,3.887217,2,false,false,0.300825655,0.033453509,0.076238930,-0.110179402,0.285377026,0.171886787,-0.936416268
234,3.903900,2,false,true,0.298215598,0.035701104,0.076636761,0.111551829,-0.284317017,-0.171884984,0.936576545
235,3.920583,2,false,false,0.297776699,0.035877138,0.076775663,0.111950994,-0.284326315,-0.171590030,0.936580181
236,3.937267,2,false,false,0.296893448,0.035767339,0.077373415,0.112130404,-0.284511358,-0.171136841,0.936585426
237,3.953950,2,false,false,0.295976639,0.035517808,0.078083590,0.112183399,-0.284527510,-0.170702279,0.936653495
238,3.970633,2,false,false,0.294913948,0.035275500,0.078953080,0.111895718,-0.284364730,-0.170267016,0.936816573
239,3.987317,2,false,false,0.293763131,0.035079792,0.079679564,0.111427329,-0.284001470,-0.170071706,0.937018037
